"Area","CancerType","Year","Sex","Race","AgeAdjustedRate","CaseCount","Population"
"Alabama","All Types of Cancer",2017,"Female","All Races",397.4,12661,2516043
"Vermont","All Types of Cancer",2017,"Female","All Races",432.6,1899,316120
"Washington","All Types of Cancer",2017,"Female","All Races",421.1,18781,3711772
"Ohio","All Types of Cancer",2017,"Female","All Races",435.1,33346,5947760
"North Dakota","All Types of Cancer",2017,"Female","All Races",436.1,1860,368134
"New Jersey","All Types of Cancer",2017,"Female","All Races",452,26377,4548298
"Delaware","All Types of Cancer",2017,"Female","All Races",407.8,2703,494227
"New Hampshire","All Types of Cancer",2017,"Female","All Races",441.2,4078,681409
"Nebraska","All Types of Cancer",2017,"Female","All Races",441.2,5026,960319
"New York","All Types of Cancer",2017,"Female","All Races",453.4,57882,10079494
"Iowa","All Types of Cancer",2017,"Female","All Races",448.1,8965,1579859
"Illinois","All Types of Cancer",2017,"Female","All Races",434,34687,6504145
"Indiana","All Types of Cancer",2017,"Female","All Races",408.6,16963,3376776
"Louisiana","All Types of Cancer",2017,"Female","All Races",426.4,12209,2388820
"Arizona","All Types of Cancer",2017,"Female","All Races",355.3,15731,3544856
"Massachusetts","All Types of Cancer",2017,"Female","All Races",425.1,19222,3532186
"Michigan","All Types of Cancer",2017,"Female","All Races",408.3,26743,5065155
"Connecticut","All Types of Cancer",2017,"Female","All Races",440.9,10658,1830414
